target_id,name,Population Chg 2020-44,Housing Unit Growth 2020-2044,Employment Chg 2019-44
125,Everett,68547,38557,67340
126,Bothell,13150,6982,8705
127,Lynnwood,25167,14051,21912
128,Arlington,14781,7794,14423
129,Bothell MUGA,10927,5393,542
130,Edmonds,13113,9068,3058
131,Edmonds MUGA,908,534,106
132,Everett MUGA,17136,8856,1905
133,Larch Way Overlap,5540,2797,491
135,Lynnwood MUGA,19783,10560,2942
136,Marysville,29108,14253,17616
138,Mill Creek,3887,2617,736
139,Mill Creek MUGA,13377,7477,1599
140,Mountlake Terrace,13424,7683,2717
141,Mukilteo,3078,2146,2358
142,Mukilteo MUGA,8178,4243,2888
143,Brier,540,539,114
144,Darrington,308,154,493
145,Gold Bar,247,167,591
146,Granite Falls,2101,987,1155
147,Index,18,10,3
148,Lake Stevens,9614,4915,3219
149,Monroe,4603,2216,2324
150,Snohomish,2752,1546,1824
151,Stanwood,3258,1630,1208
152,Sultan,3526,1425,1329
153,Woodway,162,98,12
155,Arlington UGA,307,119,39
156,Brier MUGA,150,139,81
157,Darrington UGA,111,44,76
158,Gold Bar UGA,38,38,14
159,Granite Falls UGA,187,87,3
161,Lake Stevens UGA,315,216,65
162,Lake Stickney Gap,3800,1787,707
163,Maltby UGA,426,175,1006
164,Marysville UGA,1,3,93
166,Monroe UGA,407,207,77
167,Mountlake Terrace MUGA,7,4,0
168,Paine Field Area,0,-1,1584
169,Silver Firs Gap,4193,2178,1434
170,Snohomish UGA,405,203,37
172,Stanwood UGA,290,138,534
174,Sultan UGA,149,73,1
175,Woodway MUGA,271,140,32
176,Snohomish Rural,10063,5195,4427
